SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 3.0, SAScore: 9.0, MolWeight: 4.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 8.0
SMILES: CN=C(N)N, logP: -1.0, SAScore: 3.0, MolWeight: 9.0
SMILES: OB(O)O, logP: -1.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=CC(=O)OC(C)(C)C=C, logP: 6.0, SAScore: 6.0, MolWeight: 5.0
SMILES: NC=O, logP: -1.0, SAScore: 5.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 3.0
SMILES: C=CCC(=O)OC(C)(C=C)CC, logP: 6.0, SAScore: 5.0, MolWeight: 6.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 9.0
SMILES: CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C, logP: 5.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C=CC=CC(=C)C, logP: 3.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C#CC12C=C(C#N)C(=O)C=C1CCC2, logP: 2.0, SAScore: 6.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: 1.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C=C[C@@]1(C)CC[C@H](C2=CC[C@H](C(C)(C)O)OC2)C[C@@H]1C(=C)C, logP: 4.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 4.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 6.0
SMILES: NCCN, logP: -1.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C=CCCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 1.0
SMILES: NC=O, logP: -1.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C=C[Sn](C)(C)Cl, logP: 3.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: 3.0
SMILES: CCCCCC, logP: 3.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C=CC1CC=CC1, logP: 3.0, SAScore: 4.0, MolWeight: 7.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 2.0
SMILES: O=c1ccn(CC2CO2)c(=O)[nH]1, logP: -1.0, SAScore: 5.0, MolWeight: 5.0
SMILES: C=CCCC=CCCC, logP: 4.0, SAScore: 3.0, MolWeight: 5.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C=CC(C)=CC, logP: 5.0, SAScore: 4.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 8.0, MolWeight: 6.0
SMILES: C#CC#C, logP: 2.0, SAScore: 5.0, MolWeight: 3.0
SMILES: B[P@](=O)(OC[C@H]1O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@H](O)[C@@H]1O)OP(=O)(O)O, logP: 0.0, SAScore: 9.0, MolWeight: 9.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 7.0
SMILES: Cl[Ga]Cl, logP: 1.0, SAScore: 7.0, MolWeight: 7.0
SMILES: NNC=O, logP: -1.0, SAScore: 2.0, MolWeight: 2.0
SMILES: C=CCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C=CC(C)=CC, logP: 4.0, SAScore: 7.0, MolWeight: 5.0
SMILES: CC1=CCC2CC1C2(C)C, logP: 4.0, SAScore: 9.0, MolWeight: 7.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 8.0
SMILES: C[Si](C)Cl, logP: 2.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C=CC1CCC2C(C=C)CCC(C)(O)C2C1, logP: 3.0, SAScore: 6.0, MolWeight: 2.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CCCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 7.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CC1C2CC1C1c3ccccc3C(=O)C21, logP: 3.0, SAScore: 7.0, MolWeight: 4.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 1.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 4.0
SMILES: C=CCCCC, logP: 3.0, SAScore: 2.0, MolWeight: 4.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 3.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 8.0
SMILES: NC=O, logP: -2.0, SAScore: 5.0, MolWeight: 4.0
SMILES: CCCC=CCCC, logP: 4.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C[In]C, logP: 1.0, SAScore: 8.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 7.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 9.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C#C[C@]12C=C(C#N)C(=O)C=C1[C@@]1(C)C=C(C#N)C(=O)C(C)(C)[C@@H]1CC2, logP: 2.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 1.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 8.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCC(O)C(=O)NO, logP: -2.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 8.0, MolWeight: 4.0
SMILES: Cl[N+](Cl)Cl, logP: -1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: c1ccncc1, logP: 1.0, SAScore: 1.0, MolWeight: 9.0
SMILES: CCCO, logP: 1.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCCC=CC, logP: 4.0, SAScore: 4.0, MolWeight: 9.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 8.0
SMILES: C[Sn](Cl)(Cl)Cl, logP: -2.0, SAScore: 8.0, MolWeight: 4.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 3.0
SMILES: c1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: 6.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 3.0
SMILES: C=CCCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 3.0
SMILES: O=CNc1ncncc1O, logP: -2.0, SAScore: 6.0, MolWeight: 1.0
SMILES: CC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 6.0
SMILES: C=CC(C)=CC, logP: 6.0, SAScore: 9.0, MolWeight: 4.0
SMILES: O=[N+]([O-])C(CO)CO, logP: -2.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C=C(C)C=C(C)C=CC=C(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 1.0
SMILES: C=CCC(Cl)C=CC, logP: 4.0, SAScore: 6.0, MolWeight: 9.0
SMILES: O=NC(CO)CO, logP: -2.0, SAScore: 4.0, MolWeight: 3.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 8.0, MolWeight: 3.0
SMILES: NC=O, logP: 0.0, SAScore: 1.0, MolWeight: 6.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 5.0, SAScore: 6.0, MolWeight: 5.0
SMILES: B[P@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@H](O)[C@@H]1O, logP: -1.0, SAScore: 8.0, MolWeight: 6.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 9.0
SMILES: C=CB(C)O, logP: 1.0, SAScore: 7.0, MolWeight: 2.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 8.0, MolWeight: 3.0
SMILES: CCSSC, logP: 3.0, SAScore: 5.0, MolWeight: 2.0
SMILES: C#CC1(C#C)C=CCC1=O, logP: 1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 7.0, MolWeight: 6.0
SMILES: C=CC(C)=CC, logP: 6.0, SAScore: 7.0, MolWeight: 8.0
SMILES: CCCCCC, logP: 3.0, SAScore: 1.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 8.0, MolWeight: 8.0
SMILES: CC=C(Cl)Cl, logP: 3.0, SAScore: 5.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCC(O)C(N)=O, logP: -1.0, SAScore: 7.0, MolWeight: 9.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 9.0
SMILES: C=CC#N, logP: 2.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C=CC(C)CCCC(C)C, logP: 6.0, SAScore: 7.0, MolWeight: 1.0
SMILES: ClP(Cl)Cl, logP: 5.0, SAScore: 8.0, MolWeight: 9.0
SMILES: CCC(C)SSC(C)C, logP: 4.0, SAScore: 6.0, MolWeight: 9.0
SMILES: CCCC=C(C)C, logP: 4.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CN=C=S, logP: 1.0, SAScore: 5.0, MolWeight: 4.0
SMILES: CC(C)CCC[C@@H](C)CC(C)C, logP: 6.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=C[O-], logP: -2.0, SAScore: 5.0, MolWeight: 9.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=C1CC/C=C(\C)CC[C@@H](C2=CC[C@H](C(C)(C)O)OC2)C[C@H]1O, logP: 4.0, SAScore: 7.0, MolWeight: 9.0
SMILES: OCC(CO)CO, logP: -2.0, SAScore: 4.0, MolWeight: 3.0
SMILES: CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 1.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 1.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 1.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 5.0, SAScore: 5.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C#CC1(C)CCC(=O)CC1, logP: 2.0, SAScore: 4.0, MolWeight: 2.0
SMILES: O=C1OCCO1, logP: 0.0, SAScore: 5.0, MolWeight: 2.0
SMILES: CC(C=O)=CC=CC(C)=CC=CC(C)C=CC(C)C, logP: 6.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=CC1CO1, logP: 2.0, SAScore: 5.0, MolWeight: 7.0
SMILES: O, logP: -1.0, SAScore: 6.0, MolWeight: 2.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 7.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCCC(C)=CC=CC(C)=CC, logP: 6.0, SAScore: 4.0, MolWeight: 9.0
SMILES: C=CCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 9.0
SMILES: N[Si]S, logP: -1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 5.0
SMILES: NC=O, logP: 0.0, SAScore: 1.0, MolWeight: 2.0
SMILES: NCCCN, logP: 0.0, SAScore: 3.0, MolWeight: 2.0
SMILES: CCCO, logP: 1.0, SAScore: 2.0, MolWeight: 8.0
SMILES: OCCO, logP: -1.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CCCC=CC, logP: 5.0, SAScore: 5.0, MolWeight: 5.0
SMILES: C[S+]([O-])CCC(O)C(N)=O, logP: -2.0, SAScore: 6.0, MolWeight: 9.0
SMILES: CC=CCC=CCC(C)C, logP: 4.0, SAScore: 5.0, MolWeight: 2.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C=C(Cl)CCl, logP: 5.0, SAScore: 9.0, MolWeight: 2.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 8.0
SMILES: CO, logP: 0.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C=C[Si](C)(C)Cl, logP: 3.0, SAScore: 8.0, MolWeight: 3.0
SMILES: C=CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 7.0
SMILES: CC(C)O, logP: 1.0, SAScore: 3.0, MolWeight: 2.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 6.0, SAScore: 9.0, MolWeight: 8.0
SMILES: C=CC=C(C)C=C, logP: 4.0, SAScore: 3.0, MolWeight: 8.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C=CB(C)O[Si](C)(C)C=C, logP: 2.0, SAScore: 9.0, MolWeight: 1.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 5.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 5.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C=C[Si](C)(C)Cl, logP: 3.0, SAScore: 9.0, MolWeight: 4.0
SMILES: O=C1O[C@H]([C@@H](O)CO)C(O)=C1O, logP: -2.0, SAScore: 4.0, MolWeight: 2.0
SMILES: CC(C)OB(OC(C)C)OC(C)C, logP: 2.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=CC=CCCCC, logP: 5.0, SAScore: 3.0, MolWeight: 5.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 1.0
SMILES: C[Sn](C)(Cl)Cl, logP: 3.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C=CCCCC, logP: 3.0, SAScore: 2.0, MolWeight: 7.0
SMILES: O=COC1OCC(OC2C(O)OC(CO)(CO)C2O)C(O)C1O, logP: -2.0, SAScore: 6.0, MolWeight: 2.0
SMILES: CCCCP(=O)(CCC)CCCC, logP: 6.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C=CC=CC(C)C, logP: 4.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: 1.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 8.0, MolWeight: 8.0
SMILES: NC=O, logP: -1.0, SAScore: 3.0, MolWeight: 2.0
SMILES: CC(C)=O, logP: 1.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 8.0
SMILES: O=[Hg]=O, logP: -1.0, SAScore: 6.0, MolWeight: 4.0
SMILES: NCCN1CCNCC1, logP: 0.0, SAScore: 5.0, MolWeight: 3.0
SMILES: ClP(Cl)Cl, logP: 2.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 9.0, MolWeight: 5.0
SMILES: C[As](=O)O[Si](C)(C)C, logP: 2.0, SAScore: 9.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 9.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 6.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C[As](C)(=O)O, logP: 2.0, SAScore: 8.0, MolWeight: 2.0
SMILES: C=CC(C)=CC(=C)C, logP: 4.0, SAScore: 4.0, MolWeight: 2.0
SMILES: NC=O, logP: -1.0, SAScore: 5.0, MolWeight: 9.0
SMILES: CCC(C)SSC(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=[Se], logP: 1.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC#N, logP: 2.0, SAScore: 3.0, MolWeight: 2.0
SMILES: CCN, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: O=c1ccn(CC2CO2)c(=O)[nH]1, logP: -1.0, SAScore: 5.0, MolWeight: 9.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 4.0
SMILES: C[Si](N)(N)C(N)=O, logP: -2.0, SAScore: 6.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 5.0
SMILES: C=C1CC/C=C(\C)CC[C@@H](C2=CC[C@H](C(C)(C)O)OC2)C[C@H]1O, logP: 4.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C=C(Cl)CCl, logP: 3.0, SAScore: 5.0, MolWeight: 9.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=C(C)C=CC=C(C)C, logP: 4.0, SAScore: 4.0, MolWeight: 1.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 1.0
SMILES: C[As](C)(=O)O, logP: 0.0, SAScore: 5.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: 2.0, SAScore: 6.0, MolWeight: 4.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 5.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C1=NN=[Si]N1, logP: 0.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=CCC(C)C, logP: 3.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)=CC=CC(C)C, logP: 4.0, SAScore: 5.0, MolWeight: 4.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C=C(C)C=CC=C(C)C=O, logP: 3.0, SAScore: 4.0, MolWeight: 3.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 3.0, SAScore: 6.0, MolWeight: 2.0
SMILES: C=CC(C)(C=C)CC=CC, logP: 4.0, SAScore: 8.0, MolWeight: 3.0
SMILES: C=C[Si](C)(C)O, logP: 1.0, SAScore: 6.0, MolWeight: 8.0
SMILES: O=C1CNC(=O)N1, logP: -1.0, SAScore: 6.0, MolWeight: 2.0
SMILES: ClC=CCl, logP: 5.0, SAScore: 5.0, MolWeight: 1.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 3.0, MolWeight: 2.0
SMILES: C=CC(C)=CC, logP: 5.0, SAScore: 4.0, MolWeight: 9.0
SMILES: CC1(C)CCC[C@H]2C1=CC[C@H]1C[C@@](C)([C@@H](O)CO)C[C@@H](O)[C@@]12C, logP: 4.0, SAScore: 8.0, MolWeight: 2.0
SMILES: C[As](=O)O[Si](C)(C)C, logP: 2.0, SAScore: 9.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCC(N)C(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: 5.0
SMILES: O=CCC=O, logP: 0.0, SAScore: 4.0, MolWeight: 1.0
SMILES: C=CC=CC(C)C, logP: 4.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 1.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 7.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 1.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 5.0, MolWeight: 8.0
SMILES: CC=CCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 5.0
SMILES: OCCCO, logP: -1.0, SAScore: 2.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCC(N)C(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 2.0
SMILES: CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 3.0
SMILES: NNC=O, logP: -2.0, SAScore: 4.0, MolWeight: 6.0
SMILES: C=CC(C)=CCCC(C)C, logP: 5.0, SAScore: 6.0, MolWeight: 9.0
SMILES: C=CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 5.0
SMILES: NCCCN, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C=CC(C)=CCC=CC, logP: 6.0, SAScore: 6.0, MolWeight: 6.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCS, logP: 0.0, SAScore: 3.0, MolWeight: 2.0
SMILES: C=CC=O, logP: 1.0, SAScore: 4.0, MolWeight: 8.0
SMILES: CC(C=CC(=O)O)=CC=CC(C)C, logP: 5.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=CCC(C)C, logP: 3.0, SAScore: 3.0, MolWeight: 2.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C=C1CC2C=CC1C2, logP: 3.0, SAScore: 6.0, MolWeight: 8.0
SMILES: CC=CCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C=CC1CC23C(C=O)CCC2(C=O)C2C(C)C(=O)C1CC23, logP: 3.0, SAScore: 8.0, MolWeight: 6.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 7.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 5.0, MolWeight: 7.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 7.0
SMILES: C=CCC#N, logP: 2.0, SAScore: 4.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 6.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 3.0
SMILES: CC(C)=CC=CC(C)C, logP: 4.0, SAScore: 6.0, MolWeight: 5.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 2.0
SMILES: CCC(=O)O, logP: 1.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 5.0
SMILES: O=S1(=O)OCCO1, logP: -1.0, SAScore: 5.0, MolWeight: 1.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 8.0
SMILES: CCC(C)SSC(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 6.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: 8.0
SMILES: CC=C(Cl)CCl, logP: 4.0, SAScore: 7.0, MolWeight: 9.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 1.0
SMILES: CC(C)OB(OC(C)C)OC(C)C, logP: 2.0, SAScore: 7.0, MolWeight: 1.0
SMILES: N#CN, logP: -1.0, SAScore: 4.0, MolWeight: 6.0
SMILES: C=CC=CCCCCC, logP: 6.0, SAScore: 3.0, MolWeight: 4.0
SMILES: Cl[Sn], logP: 1.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C=CCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 9.0
SMILES: C=CC1CC2C=CC1C2, logP: 3.0, SAScore: 6.0, MolWeight: 9.0
SMILES: C=CC(=C)C=C, logP: 3.0, SAScore: 4.0, MolWeight: 8.0
SMILES: ClC=CCl, logP: 2.0, SAScore: 4.0, MolWeight: 1.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 3.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 9.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 7.0, MolWeight: 8.0
SMILES: C=CC(C)=CC, logP: 3.0, SAScore: 5.0, MolWeight: 6.0
SMILES: O=CCO, logP: -1.0, SAScore: 4.0, MolWeight: 9.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCC(N)C(=O)O, logP: -1.0, SAScore: 8.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 9.0
SMILES: CC=C(Cl)CCl, logP: 4.0, SAScore: 6.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCC(O)C(=O)O, logP: -2.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 4.0
SMILES: CC=CC=CC(C)C, logP: 3.0, SAScore: 6.0, MolWeight: 8.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 9.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCC(O)C(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 7.0
SMILES: CC(Cl)CCl, logP: 4.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C=CC(C)=CCC(C)CC=CC, logP: 6.0, SAScore: 5.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 9.0, MolWeight: 5.0
SMILES: CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 9.0
SMILES: C=CCCSC(C)CC, logP: 5.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CCCCSSCCC, logP: 5.0, SAScore: 3.0, MolWeight: 7.0
