SMILES: C/C=C(\C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 8.0, MolWeight: N/A
SMILES: C=CCC[Sn](Cl)(CCC=C)CCCC, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)[O-])[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](CCCC(=O)O)c1, logP: -2.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC(=O)C[C@H]1C=CC1, logP: 2.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)CC(O)(C=C(C)C)CC(=O)O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COCO[C@]12CN(C)C3[C@@H]4[C@H](OC)[C@H]1[C@@]3([C@@H](OC)C[C@H]2O)[C@@H]1C[C@@]2(O)[C@H](OC(=O)c3ccccc3)[C@@H]1[C@]4(OC(=O)c1ccccc1)[C@@H](O)[C@@H]2OC, logP: 0.0, SAScore: 8.0, MolWeight: N/A
SMILES: C[C@@H]1O[C@@H](O[CH]C(=O)O)[C@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 1.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1)[C@@H](C)O)C(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1c(O)cc2cc1Oc1ccc(cc1)CC[C@@H](O)/C=C/C=C\2, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCOC(=O)[C@H](CCSC)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: -1.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=CC(=C)CC[C@H]1[C@]2(C)CCC[C@](C)(CO)[C@H]2[C@H](O)C[C@]1(C)O, logP: 3.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 5.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc2c3c1O[C@H]1C[C@@H](OP(=O)(OP(=O)(O)O)N(CCCl)CCCl)C=C[C@@]31CCN(C)C2, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C)c(O)c(C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](COC(=O)/C=C/c3ccc(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(C(=O)O)=CC[C@H]12, logP: 0.0, SAScore: 6.0, MolWeight: N/A
SMILES: COC(=O)CNC(=O)CCC(=O)NN=C(C)c1cccc(OC)c1, logP: 0.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C13C2C(C(=O)Nc1ccccc1)=C(C)N3NC(=O)Nc1ccccc1)OCO4, logP: 5.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 5.0, SAScore: 6.0, MolWeight: N/A
SMILES: C/C=C(/C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 5.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC(C)=CCc1cc(CCc2cc(O)cc(O)c2)cc(O)c1O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)N3CCc4c(n(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)c5ccccc45)[C@H]3C[C@H]21, logP: 0.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O, logP: 0.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CCCC(C)(O)C(=O)/C=C/C(C)(C)O, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1c(O)c(C)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(C(=O)c2ccccc2)c1O, logP: 1.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1)C(C)C)C(C)C)C(C)C)C(=O)N[C@@H](C)C(=O)O, logP: 2.0, SAScore: 6.0, MolWeight: N/A
SMILES: CCC[C@@H](O)C[C@@H]1SC(=O)c2cc(O)cc(O)c2[C@@H]1O, logP: 2.0, SAScore: 5.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCC(C)C(=O)C1=C(O)[C@@](C)(CC=C(C)C)C(=O)[C@@]2(C[C@H]3[C@H](CC[C@@]3(C)O)[C@](C)(O)C2)C1=O, logP: 5.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)O, logP: -2.0, SAScore: 6.0, MolWeight: N/A
SMILES: COC(=O)CC[Se](F)(F)F, logP: 1.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCC1(C)CCC[C@]2(C)[C@@H]1C[C@H](O)[C@@]13C=C[C@@](CO)(C1)[C@H](O)C[C@@H]23, logP: 4.0, SAScore: 8.0, MolWeight: N/A
SMILES: CO[C@]1(O[C@@H](CCC(C)(C)O)[C@](C)(O)[C@H]2CC[C@@]3(O)C4=CC(=O)[C@@H]5C[C@@H](O)[C@@H](O)C[C@]5(C)[C@H]4CC[C@]23C)COC[C@@H](O)[C@@H](O)[C@H]1O, logP: 1.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@H](O)[C@H]1OC(=O)C(C(C)=O)=C1O, logP: 0.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=CC(C)(C)c1[nH]c2c(C[C@@H](O)C(C)(C)Cl)cccc2c1/C=C1\NC(=O)[C@H](C)NC1=O, logP: 3.0, SAScore: 4.0, MolWeight: N/A
SMILES: C[C@H]1O[C@@H](n2ccnc2)C[C@@H]1O, logP: -1.0, SAScore: 1.0, MolWeight: N/A
SMILES: CCC1C(=O)N(C)C2(CCOC2=O)C1(OC)C(CC(C)C(O)C=CC=CCNC(=O)C(C)(C)C(O)C(C)=CC=CC=CCc1cnco1)OC, logP: 3.0, SAScore: 7.0, MolWeight: N/A
SMILES: C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](OCCc4ccc(O)c(O)c4)O[C@H](CO)[C@H]3OC(=O)/C=C/c3ccc(O)c(O)c3)O[C@H]2C)[C@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 6.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC(=O)O[C@H](C)CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)C[C@@H](C)OC(C)=O)c(O)c1-c1ccc(O)cc1, logP: 3.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NS(=O)(=O)O)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cnc[nH]2)NC1=O, logP: 2.0, SAScore: 5.0, MolWeight: N/A
SMILES: COC(=O)C(CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1, logP: 1.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCC[C@@H]1CC[C@H]1O, logP: 3.0, SAScore: 1.0, MolWeight: N/A
SMILES: CCC1CC2CN3CCc4c([nH]c5cc(OC)ccc45)C(C(=O)OC)(C2)C13, logP: 4.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@]1(O)C[C@H]2O[C@H]1[C@H](OC(=O)/C=C/c1ccc(O)c(O)c1)O[C@H]2OC(=O)/C=C/c1ccc(O)c(O)c1, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: COc1cc(/C=C/C(=O)OC[C@H]2O[C@@H](OCCc3ccc(O)c(O)c3)[C@H](O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]3OC(=O)/C=C/c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O, logP: 0.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC(C)=CCCC1CCCC1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC(C)=CCC[C@@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)[C@@]1(CC=C(C)C)C(=O)C(C(=O)c1ccc(O)c(O)c1)=C2O, logP: -2.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC(C)[C@@H]1CC[C@@H](C)C[C@@]12N(C)C(=O)[C@@H]1[C@H]3C(=O)N(c4ccccc4)C(=O)[C@H]3ON12, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 3.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC(C=CCC(C)CCC[C@@H](C)CCCC(C)C)=CC(=O)OC(C)C, logP: 6.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12OC(=O)[C@]3(O)C[C@H](O1)c1c(cc(O)c(C)c1O)[C@]23C, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)[C@]12Cc3c([nH]c4ccccc34)[C@@H](c3ccc(C)cc3)N1[C@@H]1c3c(ccc4ccccc34)OC[C@@H]1C2, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCN1C[C@]2(COC)CC[C@H](OC)[C@]34C1[C@H]([C@H](OC)[C@H]23)[C@]1(O)[C@H]2[C@@H](OC(=O)c3ccccc3)[C@H](C[C@H]24)[C@@H](OC)[C@@H]1O, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(=O)OC(C)(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C, logP: 6.0, SAScore: 8.0, MolWeight: N/A
SMILES: COc1cc(C)c(O)cc1CC(C)(C)OC(=O)C[C@@H](C)O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)c1cc(C)c(O)c(C)c1O, logP: -2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)(C)c1cc(C(=O)NCCC(=O)NNC(=O)NCC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc(C(C)(C)C)c1O, logP: -2.0, SAScore: 3.0, MolWeight: N/A
SMILES: C=CCC1(C(=O)Nc2cccc(OC)c2)N2c3ccccc3C(C)C3C(CC)CC1(CO)C32, logP: 5.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)cc1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2C1[C@@H]1O[C@@H]1[C@]21O[C@@H]1O, logP: -1.0, SAScore: 7.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)[O-])[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](CC)c1, logP: -2.0, SAScore: 6.0, MolWeight: N/A
SMILES: C=C[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O, logP: 6.0, SAScore: 6.0, MolWeight: N/A
SMILES: C=C[C@H](C)[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C, logP: 6.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC(C)=CC[C@H]1C[C@@]23C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c4ccc(O)c(O)c4)=C2OC1(C)C)C3=O, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)[C@H]5O[C@H]5C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: CO[C@@H](c1cc(O)c(O)c(O)c1)[C@H](C)Cc1cc(C)c(O)c(C)c1O, logP: 0.0, SAScore: 4.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(C)c1O, logP: 1.0, SAScore: 2.0, MolWeight: N/A
SMILES: C=CCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1, logP: -2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)c1cc2c(c(O)c1O)[C@@]1(C=O)CCCC(C)(C)[C@@H]1CC2, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)C[C@H](N=[N+]=[N-])[C@@H](N=[N+]=[N-])C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC(C)Cc1ccc(C(C)C(=O)NNC(=O)NCC2CCCCC2)cc1, logP: 5.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(=O)CCc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: N/A
SMILES: C/C=C(/C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 3.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](N)CC(=O)NCCOc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1, logP: -1.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)OC, logP: 3.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC=C[C@]1(C)C=C2C(=O)C[C@H]3C(C)(C)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)CC[C@]3(C)[C@H]2CC1, logP: -1.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)[C@H](O)[C@H]1OC(=O)C(c2ccc(C)cc2)=C1O, logP: 1.0, SAScore: 4.0, MolWeight: N/A
SMILES: O=C(/C=C/c1ccc(O)c(O)c1)OC[C@@H]1O[C@H]2[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C[C@]2(C(=O)O)O1, logP: 3.0, SAScore: 9.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1C[C@@H]1NC(=O)[C@H](O)[C@H](O)[C@H]1O, logP: -2.0, SAScore: 9.0, MolWeight: N/A
SMILES: COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC(=O)OCCCCCNC(=O)CO, logP: -1.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 3.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCCCCCCc1ccccc1, logP: 5.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)c(O)c1)C(N)=O, logP: -1.0, SAScore: 5.0, MolWeight: N/A
SMILES: COC(=O)C(C)NP1(=S)Oc2ccccc2CN1c1ccc(N2Cc3ccccc3OP2(=S)NC(C)C(=O)OC)cc1, logP: 6.0, SAScore: 6.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCC(C)C(=O)C1=C(O)[C@@](C)(CC=C(C)C)C(=O)[C@@]2(C[C@H]3[C@H](CC[C@@]3(C)O)[C@](C)(O)C2)C1=O, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCCCCCCCCCCc1ccccc1, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)[C@H]5O[C@H]5C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: C=C[C@H](O)[C@@H](O)/C(C)=C/C[C@]12C[C@@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 6.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC(C)c1cc(CNC(=O)CC(=O)c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: -1.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CCCCNC(=O)COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1)C(=O)O, logP: -1.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCN1C[C@]2(COC)CC[C@H](OC)[C@]34C1[C@H]([C@H](OC)[C@H]23)[C@]1(OC(C)=O)[C@H]2[C@@H](OC(=O)c3ccccc3)[C@](O)(C[C@H]24)[C@@H](OC)[C@@H]1O, logP: 2.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC(C)=C[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C, logP: -2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(O)c(C)c2c(c1O)OC(C)(C)OC2=O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@@]12OC(=O)[C@@]3(O)C[C@@H](O1)c1c(cc(O)c(C)c1O)[C@@]23C, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC(=O)c1ccc(CCN(C(=O)O)C(C)(C)C)cc1, logP: -1.0, SAScore: 2.0, MolWeight: N/A
SMILES: C[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]1C(=O)N2/C(=N/C3CCCCC3)[Se]/C(=C/I)C[C@H]12, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2OC)cc1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)c(C)c1, logP: 5.0, SAScore: 1.0, MolWeight: N/A
SMILES: COc1cc(O)ccc1C[C@H](NC(=O)COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2[O])cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O, logP: 2.0, SAScore: 5.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CCC(C)(C(=O)NC1CC(C)(C)N([O])C1(C)C)O2, logP: 3.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(=O)c1ccc(O)cc1, logP: 2.0, SAScore: 1.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CCCCNC(=O)COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1)C(=O)O, logP: 0.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCOC(=O)CCC(=O)OC, logP: 1.0, SAScore: 2.0, MolWeight: N/A
SMILES: C[C@H](O)C[C@@H]1C[C@H](C)[C@@H](O)[C@H](C)O1, logP: 1.0, SAScore: 1.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)NC(=S)NC1c1cc(C)c(O)c(O)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)cc1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: CCC(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12, logP: 3.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: C[C@H](O)[C@H](C)C1=CC[C@H](C)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@@H]2O)[C@H]1O, logP: -2.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)Cc1ccc(C)cc1, logP: -1.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(=O)O[C@H](C)CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)C[C@@H](C)OC(C)=O)c(O)c1-c1ccc(O)cc1, logP: 5.0, SAScore: 6.0, MolWeight: N/A
