SMILES	 logP	 SAScore
 CC(C)(C)c1ccc(C(=O)N/N=C/c2ccc(Cl)cc2)cc1	6	2
 CNC(=O)C(C)Oc1ccccc1C(=O)c1ccc(NC(=O)C2CCCO2)cc1	2	3
 O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	2	3
 COc1ccc2nc(Oc3ccc(C#N)cc3)c(C3C(C#N)=C(N)N(c4cc(F)ccc4F)C4=C3C(=O)CC(C)(C)C4)cc2c1	6	4
 CC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)OCC(=O)N1C(=O)CC(C)(C)CC1=O	2	3
 COc1ccc(C=NNC(=O)c2cc(-c3ccc(OC)cc3)nc3ccccc23)cc1	6	2
 COc1ccc(C2=NN(c3nc(-c4ccc([N+](=O)[O-])cc4)cs3)C(c3ccc(SC)cc3)C2)cc1	6	3
 CCOC(=O)c1ccsc1NC(=O)CN1CCN(c2ccccn2)CC1	2	2
 Cc1ccc(Nc2sc(C(=O)c3ccc(C)cc3)c(C)c2C(=O)O)cc1	6	2
 COC(=O)c1ccn(Cc2ccc(C)cc2)n1	2	2
 O=C(CN1CCN(C(c2ccccc2)c2ccccc2)CC1)Nc1nc2ccccc2[nH]1	4	2
 CC1=C(C(N)=S)C2(C(=O)Nc3ccccc32)C(C#N)=C(N)O1	2	4
 COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(C(N)=S)n2)ccc1O	4	3
 CCN(CC)C(=O)CC1C(=O)NCCN1CC(c1ccccc1)c1ccccc1	2	3
 COc1ccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)cc1	4	2
 Cc1ccc(C)c(NC(=O)C2C3CCC(O3)C2C(=O)O)c1	2	4
 CC1(C)N([O])C(c2ccccc2O)=[N+]([O-])C1(C)C	2	3
 Cc1cc2c(O)c3c(c(O)c2o1)[C@@]1(C)CCC(=O)C(C)(C)C1=C(O)C3=O	4	4
 CC(C)OC(=O)C=Cc1ccco1	2	2
 CC1(C)COCC(C[Te]c2ccccc2)O1	2	4
 COc1cccc(-c2nc(CS(=O)CC(=O)N3CCN(c4ccc(F)cc4)CC3)c(C)o2)c1	4	3
 C=C1C2(C(=O)Nc3ccccc3F)CCC(C2)C1(C)c1ccc(C(=O)Nc2ccccc2)cc1	6	4
 O=C(Nc1ccc(F)cc1)Nc1ccc(Cl)cc1NC(=O)c1ccc(F)cc1F	6	2
 CC1=N/C(=N/N=C(\C)c2nc(-c3ccccc3)[nH]c2C)S/C1=N\Nc1ccc(Cl)cc1	6	3
 O=c1c2ccc(Cl)cc2nc(-c2ccccc2)n1O	4	2
 CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1	6	4
 O=C1NN=C2C=C(c3cccs3)CC(c3cccc([N+](=O)[O-])c3)C12	4	4
 O=S(=O)(CC1=NCCS1)c1c(-c2ccc(Cl)cc2)nn(-c2ccccc2)c1-c1ccc(Cl)cc1	6	3
 C/C(=N/O)c1sc2nc3nc4c(c(-c5ccc(Cl)cc5)c3c(=O)n2c1C)CCC/C4=C/c1ccc(Cl)cc1	6	4
 Oc1ccc(/C=C/c2cccc(/C=C/c3ccc(O)c(O)c3)c2)cc1	6	2
 CCCCCCn1c(=O)n(CCC)c(=O)c2c1ncn2C	2	3
 COC(=O)C1CN(C(=O)c2cccc([N+](=O)[O-])c2)CC(C)(C)C1	2	3
 O=C(Oc1ccc2c(c1)OCO2)c1c(Cl)cccc1Cl	4	2
 NS(=O)(=O)c1ccc(NC2CC3CCC2C3)c(S(=O)(=O)N2CCC(C(=O)O)CC2)c1	2	4
 CC1=C(C)CC(C(=O)NCC2CCCO2)C(C(=O)NCCN2CCCC2)C1	2	4
 CNc1c(N2CCN(c3ncccn3)CC2)cnn1-c1nnc(NCc2cccc(C(F)(F)F)c2)nn1	2	3
 O=C(O)c1ccc(-c2csc(-c3cc4ccccc4oc3=O)n2)cc1	4	2
 CCC1(c2ccccc2)NC(=O)N(CC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)C1=O	2	3
 COc1ccc(C2/C(=C\c3ccc(O)c(OC)c3)C(=O)c3cccn32)cc1O	4	3
 CCOC(=O)C(CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1	2	3
 CCOC(=O)C1=C(C)N(c2cccc(Cl)c2)C=CC1c1ccccc1	6	3
 CCCCC=CC=CC=O	2	3
 CC(C(=O)NCCC[Se]C(F)(F)F)c1ccc(-c2ccccc2)c(F)c1	6	3
 N#Cc1cccc(S(=O)(=O)NNC(=O)C23CC4CC(CC(C4)C2)C3)c1	2	4
 CCC(C)(C)C(=O)ON=Cc1ccc(CN2Cc3ccccc3C2=O)cc1	4	3
 CC(C)=CC(O)C/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	4
 COc1cc(C2Oc3cc(-c4oc5cc(OCC=C(C)C)cc(O)c5c(=O)c4O)ccc3OC2CO)ccc1OCC=C(C)C	6	4
 CC[C@@]12C=C(C(=O)OCCOC(C)=O)n3c4c(c5ccccc53)CCN(CCC1)[C@H]42	4	4
 COC(=O)[C@]12Cc3c([nH]c4ccccc34)[C@@H](c3ccccc3)N1[C@@H]1c3ccccc3OC[C@@H]1C2	6	4
 CCN(CC)C(=O)CS(=O)(=O)c1ccc(Cl)cc1	2	2
 COc1ccc(C2=NN(c3ccccc3)C(c3noc(-c4ccccc4OC)n3)C2)cc1	4	3
 CC(C)C(=O)C(NC(=O)Cn1nnc2ccccc2c1=O)C(C)C	2	3
 Cc1c(C(=O)N(C)c2ccc(Cl)cc2)cnn1-c1ccccc1	4	2
 CC1CCN(C(=O)C2CCN(S(=O)(=O)c3cc([N+](=O)[O-])ccc3F)CC2)CC1	2	3
 Cc1cc(NC(=O)CSC2=NS(=O)(=O)c3cc(Cl)ccc3N2)no1	2	3
 NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2cncc(Br)c2)cc1	2	2
 Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1/C=C/C(=O)OC(C)(C)C	6	3
 CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	4	4
 CCOC(=O)COc1ccc(Cl)cc1C=NO	2	2
 COc1cc(C2CC(c3cc4ccccc4o3)=NN2C(=O)Nc2ccc(Br)cc2)ccc1O	6	3
 CC1C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C2C(OC(=O)C(C)C)C1	2	4
 OCCC1CN(Cc2cnc(-c3ccccc3)s2)CCN1Cc1ccccc1	4	3
 COc1ccc2oc(C3CC(c4ccc([N+](=O)[O-])cc4)=NN3c3ccccc3)cc2c1	4	3
 CNC(=O)C(CC(C)C)NC(=O)CC(C)C	2	3
 CNC(=O)Oc1ccc(C)cc1C(=O)CCl	2	2
 C=CCn1c(-c2csc(-n3nc(C)cc3C(F)(F)F)n2)n[nH]c1=S	4	3
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2COC(=O)c2cccc(Cl)c2)ccc1O	4	4
 COc1ccc(C2=NOC(c3ccc(C)cc3)C2S(=O)(=O)CC2=NCCS2)cc1	4	4
 COc1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)n3ccc(C#N)cc23)cc1	6	2
 O=C(Nc1nnc(-c2ccc(O)c(O)c2)s1)C12CC3CC(CC(C3)C1)C2	6	4
 Oc1cccc(CNCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1	6	2
 CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cc(OC)c(O)c(OC)c1	4	3
 O=C1ON=C2C=C(c3cccs3)CC(c3cccc([N+](=O)[O-])c3)C12	4	4
 CC1=C(C#N)SSC(N)=N1	2	4
 CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	2	4
 Cc1ccc(S(=O)(=O)NCc2ccc3oc(=O)ccc3c2)cn1	2	2
 Cc1ccc(C(=O)OC(C)(C)C)cc1OC(=O)Nc1ccc(C(=O)O)cc1	4	2
 COC(=O)[C@@H](Cc1ccc(O)c(O)c1)NC(=O)/C=C/c1ccc(O)c(OC)c1	2	3
 CC1CCCC(C2(C)NC(=O)C3(C)CCCC(O)=C32)C1=O	2	4
 CC1=C(C(=O)OC(C)(C)C)C(c2ccccc2)C=CN1c1ccc(Cl)cc1	6	3
 COc1cc([C@H](O)[C@@H](CO)Oc2c(OC)cc([C@@H]3OC[C@@H]4[C@H]3CO[C@H]4c3cc(OC)c(O[C@H](CO)[C@@H](O)c4ccc(O)c(OC)c4)c(OC)c3)cc2OC)ccc1O	4	4
 CC(C)C(=O)OCC(C)(C)CC(C)(C)O	2	3
 COc1cc2c(cc1O)CCC(C)(CC(=O)N1CCC[C@H]1C(=O)O)O2	2	3
 COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(Cl)cc1	4	2
 COc1cc(C2Oc3c(OC)cc(/C=C/C=O)cc3C2COC(=O)c2ccc(O)cc2)ccc1O	6	4
 CC1=CC(=O)C=C(C/C=C(\C)CC(=O)/C=C(/C)CC/C=C(\C)Cc2cc(C)co2)C1=O	6	4
 CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O	4	4
 CCCCCCCCNC(=O)Oc1ccc2c(c1)CN1CCCc3ccccc3C1N2C	4	3
 CC(C)(C)/[N+]([O-])=C/c1cccnc1Br	2	3
 COc1cc2c(cc1O)C1(O)c3ccccc3C(=O)N1CC2	2	3
 O=c1c2ccccc2[se]n1-c1ccc2cccc(O)c2n1	2	3
 Cc1cc(N2CCN(c3ccccc3-c3ccccc3)CC2)c2ccccc2n1	6	2
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2COC(=O)/C=C/c2ccc(Cl)cc2)ccc1O	6	4
 C=C[C@]1(C)CC[C@@H](C(=C)COC(=O)c2ccc(F)c(F)c2)C[C@H]1C(=C)C	6	4
 COc1cccc(OS(=O)(=O)/C=C/c2cccc(Cl)c2)c1	4	2
 O=C(OCC(=O)N1CCCC1)c1cn(CC(=O)N2CCCC2)c2ccccc12	2	2
 O=C(CSc1cn(Cc2ccc(F)cc2)c2ccccc12)N1CCCC1	4	2
 O=S(=O)(CC1=NCCS1)C1C(c2ccccc2)=NOC1c1ccc(Cl)cc1	4	4
 CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	6	4
 COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2[O])cc1OC	2	3
 Cc1ccc(-c2nnc(CSC(SCc3nnc(-c4ccc(C)cc4)o3)=C(C#N)C#N)o2)cc1	6	3
 COC(=O)C(C)c1ccc(-c2ccc(NCc3cc(CN4CCOCC4)ccc3O)cc2)c(F)c1	6	3
 CCC(C)/C=C/C=C(C)/C=C/C=C(\C)C(=O)O	6	4
 O=C1CCC(=O)N1C(Nc1ccccn1)c1ccccc1	2	3
 COc1cc(NC(=O)c2ccccc2Br)c(OC)cc1NC(=O)Cc1ccc(OC)c(OC)c1	6	2
 COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2ccc(O)c(OC)c2)ccc1O	4	4
 O=CC=Cc1ccccc1	2	2
 CN(C)C=C(C=O)c1ncc(C(F)(F)F)cc1Cl	2	3
 N#CCCn1nc(-c2ccccc2)cc1NC(=O)c1ccc(Cl)cc1	4	2
 CC(C)(O)C1Cc2cc(O)ccc2O1	2	4
 COc1ccc(CC(=O)Nc2cccc(-c3ccc(N4CCCC4)nn3)c2)cc1	4	2
 CCc1ccc(C(=O)NCCc2nnc(-c3ccccc3Cl)o2)cc1	4	2
 Cc1cc(CC2=C(C(=O)OCCOc3ccccc3)C(c3ccccc3)NC(=O)N2)cc(C(C)(C)C)c1O	6	3
 COP(=O)(OC)OC(Br)C(Cl)(Cl)Br	4	4
 COc1cc([C@H]2Oc3c(OC)cc(/C=C/COC(=O)c4ccc(O)cc4)cc3[C@@H]2COC(=O)c2ccc(O)cc2)cc(OC)c1O	6	4
 CSc1ccc(C(=O)C2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)cc1	4	2
 O=C(O)c1ccc(Cc2c(-c3cccc(C(F)(F)F)c3)c3ccccc3[nH]c2=O)cc1	6	2
 Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2	2	3
 CC(C(=O)NCCc1ccccc1)c1cccc(C(OC(=O)NCCc2ccccc2)c2ccccc2)c1	6	3
 COC(=O)[C@H](Cc1cn(C/C=C/c2ccccc2)c2ccccc12)NC(C)=O	4	3
 Cc1noc(C)c1C(=O)Nc1c(Cl)cccc1Cl	4	2
 CC(C)(C)/[N+]([O-])=C/c1cccnc1Br	2	3
 Cc1ccc(-c2nn(C(=O)NCCc3ccccc3)c3ccccc23)cc1	4	2
 CC1(c2ccccc2)C(=O)C(c2ccccc2)=Nc2nc3ccccc3n21	6	3
 Cc1csc(NC(=O)c2cc(C(=O)OC(C)C(=O)Nc3ccc(Sc4ccccc4)cc3)nc3ccccc23)n1	6	3
 CC(C)(C)c1cc(/C=[N+](\[O-])Cc2ccccc2)cc(C(C)(C)C)c1O	6	3
 O=C(CCCCC1CCSS1)OC1CCN(Cc2ccccc2)CC1	6	3
 CCCCC(OC(C)=O)c1ccccc1C(=O)Oc1cc(C)nn1-c1ccc(F)cc1	6	3
 CC(C(=O)NCC1CCCCC1)c1cccc(C(OC(=O)NCC2CCCCC2)c2ccccc2)c1	4	3
 Cc1ccc(NC(=O)Cn2c(=O)oc3ccccc32)c([N+](=O)[O-])c1	2	2
 O=C(CSc1nnc(-c2ccccc2)n1-c1ccccc1)Nc1ccccc1-c1ccccc1	6	2
 Cc1nn(C(=S)c2c(SCc3ccc(F)cc3)nsc2C)c(C(N)=O)c1C	2	3
 COc1ccc(C2OCC3C(c4ccc(Oc5ccc(O)cc5)cc4)OCC23)cc1	4	4
 COc1cc([C@@H]2c3cc4c(cc3[C@@H](NC(=O)[C@H](CCSC)NC(=O)OC3CC(C)(C)N([O])C(C)(C)C3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O	4	4
 COc1ccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)cc1	4	2
 COc1ccc(/C=C/C(=O)N[C@@H](Cc2ccc(O)c(O)c2)C(=O)O)c2cc(-c3ccc(O)c(O)c3)oc12	4	3
 Cc1cc(C)c2c(NC(=S)NCC3CCCO3)n[nH]c2n1	2	3
 Cc1ccc(CSCC(=O)Nc2cc([N+](=O)[O-])ccc2Cl)cc1	4	2
 Cc1c(OCC(=O)O)ccc2c1OC(=Cc1ccc(Br)cc1)C(=O)C2(C)C	6	3
 CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl	4	3
 COC(=O)c1c(Nc2ccc(F)cc2)sc(C(=O)c2ccc(C)cc2)c1C	6	2
 CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1	2	4
 Oc1ccc([C@H]2Oc3cc(O)cc4c3[C@@H]2c2cc(O)cc3c2[C@@H](c2cc(O)cc5c2[C@@H]4[C@H](c2ccc(O)cc2)O5)[C@H](c2ccc(O)cc2)O3)cc1	6	4
 COc1ccc(C(C)NC(=O)C2CC(=O)N(c3ccc4c(c3)OCCCO4)C2)cc1	4	3
 CC(C)(C)c1cc(C2=NNC(c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2)cc(C(C)(C)C)c1O	6	4
 Cc1ccc(C)c(C(=O)CSc2ncnc3ccccc23)c1	4	2
 CCc1cc2c(c(C(C)=O)c1O)OC(=O)C(=Cc1cc(O)c(C)c(O)c1O)C(=O)C(=O)O2	2	3
 COc1ccc(C=CC(=O)Nc2ccc(C(=O)Nc3ccccc3Br)cc2)cc1OC	6	2
 COc1cccc(C(=O)NC(=S)Nc2nc(C)cc(C)n2)c1	2	2
 Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NC(C(=O)NC3CCCCC3)C(C)C)c2)cc1	4	3
 COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1	6	2
 COc1cc(OC)c(OC)cc1/C=C/C(=O)c1cccc([N+](=O)[O-])c1	4	2
 O=c1c2ccccc2[se]n1-c1ccc2cccc(O)c2n1	2	3
 CCOC(=O)C1NN=C(C(=O)c2ccccc2)C1c1ccccc1	2	3
 O=C(NCc1nnc(SC2CCOC2=O)o1)c1ccc(C(F)(F)F)cc1	2	3
 O=C(NCc1cccnc1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1	2	2
 CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C	4	3
 CC1(C)OCC2=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]3(C)[C@H]2CO1	2	4
 O=C(Nc1cccc(Oc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1)c1ccccc1Cl	6	2
 CCCCCCCCCCCCCCCC(=O)O[C@@H]1Cc2ccc(O)c(O)c2O[C@H]1c1ccc(O)c(O)c1	6	3
 CC[C@]12C=C(C(=O)OCCOC(C)=O)n3c4c(c5ccccc53)CCN(CCC1)[C@H]42	4	4
 O=C(Nc1cccc(C(=O)Nc2ccc(-c3cc4ccccc4oc3=O)cc2)c1)c1cccc(Cl)c1	6	2
 CN(C)Cc1cc(/C=C2\CCC/C(=C\c3cc(CN(C)C)c(O)c(CN(C)C)c3)C2=O)ccc1O	4	3
 C/C=C(/C)C(=O)OCc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)CC=C2	4	4
 CN1CC(O)(c2ccc(-c3ccccc3)cc2)Sc2ccccc21	6	3
 Cn1cc(CN2CCN(Cc3ccccc3)C(CCO)C2)c2ccccc21	4	3
 CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)c(F)c1)C(N)=C(C#N)C2c1cc2ccccc2nc1Oc1ccc(C#N)cc1	6	3
 COc1cccc(Nc2ncc(CN3CCCCC3C)s2)c1	4	3
 COC(=O)C1C2C(=Nc3ccccc3C2C(=O)N2CCCC2)C(=O)N1NS(=O)(=O)c1ccc(C)cc1	2	4
 COc1cc(/C=C/C(=O)c2cccc(NC(=O)c3ccccc3)c2)ccc1O	4	2
 Cc1ccc(C)c(N(C(=O)c2cc(C(C)(C)C)no2)C(C(=O)NC2CCCCC2)c2cccs2)c1	6	3
 CC1(C)OCC2=CC[C@H]3C(C)(C)[C@@H](O)CC[C@]3(C)[C@H]2CO1	2	4
 CCCN(CCC)C(=O)SCC	2	3
 CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	4	4
 COc1cnc(C)nc1N1CCN(C(=O)c2ccc(C)cc2)CC1	2	2
 COc1cc(NC(C)CCCNC(=O)NNC(=O)Nc2cc(Cl)cc(C(F)(F)F)c2)c2ncccc2c1	6	3
 COc1ccccc1N1CCN(C(=O)C2CCN(S(=O)(=O)c3ccccc3)CC2)CC1	2	2
 Cc1ccc(C2CNN=C2S(=O)(=O)CC2=NCCS2)cc1	2	4
 CC(C)=CC(O)C/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	4
 COC(=O)C1=CC(C(=O)OC)C2C3=C(C(=O)C2(C)NC(=O)c2ccccc2)C(C)n2c(=O)n(-c4ccccc4)c(=O)n2C3C1	2	4
 CC1CC(C)CN(S(=O)(=O)c2ccc(C(=O)N3CC(C)OC(C)C3)cc2)C1	2	3
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2COC(=O)c2cc(N)cc([N+](=O)[O-])c2)ccc1O	4	4
 O=[N+]([O-])c1ccc2c(c1)ncn2Cc1ccccc1O	2	2
 COc1cc(C2CC(c3c(C)[n+]([O-])c4ccc(F)cc4[n+]3[O-])=NN2)cc(OC)c1OC	2	4
 CCOC(=O)C1OC1(C)c1ccccc1	2	3
 COc1nn(CSP(=S)(OC)OC)c(=O)s1	2	4
 CCCCCCc1ccc(-c2nc(CC)no2)cc1	4	2
 COc1cc(/C=C/C(=O)/C(OC(C)=O)=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O	4	3
 COc1ccc(C(Oc2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)C(=O)O)cc1	6	3
 CCN1C(=O)C2(OCC(C)(C)CO2)c2ccccc21	2	3
 COc1cc(/C=N/NC(=O)OCc2ccccc2)cc(O)c1O	2	2
 CC(=O)[C@H]1[C@H](Nc2ccc(Cl)cc2)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	6	4
 COc1ccc(C2=NN(c3nc(-c4ccc([N+](=O)[O-])cc4)cs3)C(c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C2)cc1OC	6	3
 Cn1c(SCC(=O)Nc2nccs2)nnc1C(c1ccccc1)C(F)(F)F	4	4
 CCN(CC)CC(O)Cn1c2ccccc2c2ccccc21	4	3
 O=C(NNC(=O)c1cncc(Br)c1)c1ccccc1	2	2
 CC(=O)c1nn(-c2ccc(C)cc2)cc1C(=O)c1ccccc1	4	2
 COc1cc(C)ccc1Oc1cc(C=NN2CCOCC2)ccc1OC	4	2
 CC1(C)CC(=O)c2ccccc2C1=O	2	2
 COc1cc(C2Oc3cc(-c4oc5cc(OCC=C(C)C)cc(O)c5c(=O)c4O)ccc3OC2CO)ccc1OCC=C(C)C	6	4
 C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	6	4
 O=C1CCCN1CC(O)CS(=O)(=O)Cc1ccc(Cl)cc1Cl	2	3
 COc1ccc(C(=O)Nc2cccc3c2CCN(C(=O)CCCC(=O)O)C3)cc1	4	2
 COc1ccc(CN2C(=O)C(C)(C)c3ccccc32)cc1	4	2
 Cc1cc(CNC(=O)C2(C(F)(F)F)CC(=CCCO)CCCO2)nn1C	2	3
 Brc1ccc(CSC2=NCCC2)cc1	4	2
 CC1=C(C(=O)OCc2ccccc2)C(c2cccc3ccccc23)NC(=O)N1CCCC(=O)O	4	3
 CC1=NN(C(=O)c2cc3ccccc3oc2=O)C(=O)C1CNc1ccc(S(N)(=O)=O)cc1	2	4
 CC12CCC(=O)CC1CCC1C2CCC2(C)C(OC(=O)CCC(=O)O)CCC12	4	4
 CCCCNC(=O)C(C)OC(=O)C1=C(c2ccccc2)NC(=O)NC1c1cccc([N+](=O)[O-])c1	4	3
 CC(C)=CCOc1cc(/C=C/C(=O)c2ccc(O)cc2O)cc(CC=C(C)C)c1O	6	3
 COc1ccc(C(Oc2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)C(=O)O)cc1	6	3
 O=C(c1ccc(Cl)cc1)N1CCN(Cc2nnc(Nc3ccccc3)s2)CC1	4	2
 COc1ccccc1/C=C/C(=O)N1CCN(Cc2ccc(O)c3ncccc23)CC1	2	2
 Cc1ccc(NC(=S)CCOc2ccccc2[N+](=O)[O-])c(C)c1	4	2
 COc1cc(NC(C)CCCNC(=O)NNC(=O)Nc2ccc(Br)cc2)c2ncccc2c1	6	3
 COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)NC(=S)NC2c2c(Cl)cccc2Cl)ccc1O	6	4
 COc1ccc(CCN(C)CCCC(CNC(=O)C2=C(C)C(C)(C)N(O)C2(C)C)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	6	4
 CC1=CC(=O)C2(O1)C(c1cc3oc(=O)c4cc(O)c(O)cc4c3c(=O)o1)=Cc1cc(O)c(O)cc12	2	4
 CN(C)c1nnc(OC(C(F)F)C(F)(F)F)c(N(C)C)n1	2	3
 CC(=O)C(C)Sc1nc(N)c(NC(=O)c2ccc(Br)o2)c(=O)[nH]1	2	3
 CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	4	3
 CCCCCCCCCC=CC1CC(=O)OC1=O	4	3
 CC(C)(C)N/C=C1/C=C(C=O)c2cccnc2C1=O	2	3
 CC(=O)N1N=C(c2ccc(F)cc2)OC1c1ccc(Br)s1	4	3
 CC(C)COP(=O)(Oc1ccccc1)Oc1ccccc1	4	4
 COCCCN=C1C=C(NS(=O)(=O)c2cc(C)c(C)cc2OC)c2ccccc21	4	4
 C/C(=N\Nc1cccc(C)c1)c1cc2c(C)cc(=O)oc2c(/C(C)=N/Nc2cccc(C)c2)c1O	4	3
 O=C(Nc1ccc(-c2csc(N3CCCCC3)n2)cc1)c1ccc(C(F)(F)F)cc1	6	2
 Cc1ccc(/C=N/c2ccc(OCc3ccccc3)cc2)c(O)c1	6	2
 COc1cc(NC(C)CCCNC(=O)NNC(=O)Nc2cccc(Cl)c2)c2ncccc2c1	6	3
 CC1=C=C(S(=O)(=O)N2CC3CC(C2)c2cccc(=O)n2C3)C=C1	2	4
 COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)NC(=S)NC2c2c(Cl)cccc2Cl)ccc1O	6	4
 COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC(=O)[C@@H]1CCCN1C(=O)OC1CC(C)(C)N([O])C(C)(C)C1	4	4
 COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2[O])c(OC)c1	2	3
 COc1ccc2c(c1)C(C#N)=C(N)C(c1cccs1)C1=C2N(Cc2ccco2)C(=O)CC1=O	4	3
 O=c1[nH]c2c(c(=O)[nH]1)C(c1ccc([N+](=O)[O-])cc1)Nc1nc3c(cc1-2)-c1[nH]c(=O)[nH]c(=O)c1C(c1ccc([N+](=O)[O-])cc1)N3	2	4
 Cc1cccc(C2=NN(C(=O)C(=O)NCCCN3CCOCC3)C(c3ccc4c(c3)OCO4)C2)c1	2	3
 COc1ccc([N+](=O)[O-])cc1NC(=O)c1cccn1C	2	2
 O=C(O)CCc1ccc(NC(=O)c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1	4	2
 CCC[C@@H](O)C[C@H]1OC(=O)c2c(cc(OC)c(OC)c2O)[C@H]1O	2	4
 CCCCCCCCCCCCCCOc1cc(OC)ccc1C(C)=O	6	2
 O=CC(Br)(Br)Br	2	4
 COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O	6	4
 Cc1cc(Br)ccc1NC(=S)NCc1ccc(Br)cc1	6	2
 O=[N+]([O-])c1ccn(CCOCCOCCOc2ccccc2)n1	2	2
 CC(=O)CC(=O)OCc1ccc2c(c1)OCO2	2	2
 COc1ccc(/C=C/C=N/NC(=O)c2ccc(C(C)(C)C)cc2)cc1	4	2
 N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccc(F)cc1	4	3
 CC(C)=CCC[C@@H](C)C1=CC(=O)C(C)=C(O)C1=O	4	4
 COc1cc2c(c(OC)c1O)[C@@H](CO)[C@@H](c1cc(OC)c(OC)c(OC)c1)O2	4	4
 Cc1ccc2c(c1)CCN1C(=O)c3ccccc3C21O	2	3
 Cc1ccc(S(=O)(=O)N2CCN(c3nc(C)sc3-c3ccc(Oc4ccccc4)cc3)CC2)cc1	6	2
 COc1ccccc1S(=O)(=O)/C=C/c1ccccc1Cl	4	2
 CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl	4	3
 O=C(c1ccccc1)C1C2C(=O)N(c3ccc(F)cc3)C(=O)C2C2CCCN21	2	4
